#Saved Data from the class pulsed_measurement_logic_clone on 10.02.2023 at 18h26m17s.
#
#Parameters:
#===========
#
#Approx. measurement time (s): 6.3086361312866211e+02
#Measurement sweeps: -1
#Number of laser pulses: 600
#Laser ignore indices: []
#alternating: False
#analysis parameters: {'signal_start': 0.0, 'signal_end': 3.7200000000000005e-07, 'method': 'sum'}
#extraction parameters: {'conv_std_dev': 20.0, 'flank_width': 0, 'method': 'conv_deriv'}
#fast counter settings: {'bin_width': 1e-09, 'record_length': 3.5e-06, 'number_of_gates': 600, 'is_gated': True}
#
#Data:
#=====
#Controlled variable(s)	Signal
2.630000000000000e-06	3.730000000000000e+03
2.640000000000000e-06	3.579000000000000e+03
2.650000000000000e-06	3.448000000000000e+03
2.660000000000000e-06	3.165000000000000e+03
2.670000000000000e-06	3.058000000000000e+03
2.680000000000000e-06	2.999000000000000e+03
2.690000000000000e-06	3.091000000000000e+03
2.700000000000000e-06	3.307000000000000e+03
2.710000000000000e-06	3.524000000000000e+03
2.720000000000000e-06	3.649000000000000e+03
2.730000000000000e-06	3.699000000000000e+03
2.740000000000000e-06	3.506000000000000e+03
2.750000000000000e-06	3.299000000000000e+03
2.760000000000000e-06	3.045000000000000e+03
2.770000000000000e-06	2.957000000000000e+03
2.780000000000000e-06	2.974000000000000e+03
2.790000000000000e-06	3.192000000000000e+03
2.800000000000000e-06	3.379000000000000e+03
2.810000000000000e-06	3.640000000000000e+03
2.820000000000000e-06	3.758000000000000e+03
2.830000000000000e-06	3.634000000000000e+03
2.840000000000000e-06	3.318000000000000e+03
2.850000000000000e-06	3.159000000000000e+03
2.860000000000000e-06	3.016000000000000e+03
2.870000000000000e-06	3.105000000000000e+03
2.880000000000000e-06	3.178000000000000e+03
2.890000000000000e-06	3.501000000000000e+03
2.900000000000000e-06	3.451000000000000e+03
2.910000000000000e-06	3.677000000000000e+03
2.920000000000000e-06	3.513000000000000e+03
2.930000000000000e-06	3.323000000000000e+03
2.940000000000000e-06	3.143000000000000e+03
2.950000000000000e-06	3.164000000000000e+03
2.960000000000000e-06	3.075000000000000e+03
2.970000000000000e-06	3.204000000000000e+03
2.980000000000000e-06	3.588000000000000e+03
2.990000000000000e-06	3.557000000000000e+03
3.000000000000000e-06	3.578000000000000e+03
3.010000000000000e-06	3.633000000000000e+03
3.020000000000000e-06	3.494000000000000e+03
3.030000000000000e-06	3.106000000000000e+03
3.040000000000000e-06	3.105000000000000e+03
3.050000000000000e-06	2.979000000000000e+03
3.060000000000000e-06	3.134000000000000e+03
3.070000000000000e-06	3.349000000000000e+03
3.080000000000000e-06	3.594000000000000e+03
3.090000000000000e-06	3.651000000000000e+03
3.100000000000000e-06	3.483000000000000e+03
3.110000000000000e-06	3.379000000000000e+03
3.120000000000000e-06	3.030000000000000e+03
3.130000000000000e-06	3.084000000000000e+03
3.140000000000000e-06	2.996000000000000e+03
3.150000000000000e-06	3.215000000000000e+03
3.160000000000000e-06	3.355000000000000e+03
3.170000000000000e-06	3.524000000000000e+03
3.180000000000000e-06	3.764000000000000e+03
3.190000000000000e-06	3.562000000000000e+03
3.200000000000000e-06	3.253000000000000e+03
3.210000000000000e-06	3.133000000000000e+03
3.220000000000000e-06	2.918000000000000e+03
3.230000000000000e-06	2.931000000000000e+03
3.240000000000000e-06	3.093000000000000e+03
3.250000000000000e-06	3.352000000000000e+03
3.260000000000000e-06	3.572000000000000e+03
3.270000000000000e-06	3.788000000000000e+03
3.280000000000000e-06	3.693000000000000e+03
3.290000000000000e-06	3.467000000000000e+03
3.300000000000000e-06	3.323000000000000e+03
3.310000000000000e-06	3.057000000000000e+03
3.320000000000000e-06	3.015000000000000e+03
3.330000000000000e-06	3.132000000000000e+03
3.340000000000000e-06	3.363000000000000e+03
3.350000000000000e-06	3.534000000000000e+03
3.360000000000000e-06	3.667000000000000e+03
3.370000000000000e-06	3.680000000000000e+03
3.380000000000000e-06	3.456000000000000e+03
3.390000000000000e-06	3.260000000000000e+03
3.400000000000000e-06	3.033000000000000e+03
3.410000000000000e-06	2.944000000000000e+03
3.420000000000000e-06	3.117000000000000e+03
3.430000000000000e-06	3.228000000000000e+03
3.440000000000000e-06	3.506000000000000e+03
3.450000000000000e-06	3.693000000000000e+03
3.460000000000000e-06	3.846000000000000e+03
3.470000000000000e-06	3.437000000000000e+03
3.480000000000000e-06	3.203000000000000e+03
3.490000000000000e-06	3.058000000000000e+03
3.500000000000000e-06	3.003000000000000e+03
3.510000000000000e-06	2.977000000000000e+03
3.520000000000000e-06	3.245000000000000e+03
3.530000000000000e-06	3.318000000000000e+03
3.540000000000000e-06	3.573000000000000e+03
3.550000000000000e-06	3.833000000000000e+03
3.560000000000000e-06	3.510000000000000e+03
3.570000000000000e-06	3.298000000000000e+03
3.580000000000000e-06	3.085000000000000e+03
3.590000000000000e-06	3.020000000000000e+03
3.600000000000000e-06	3.054000000000000e+03
3.610000000000000e-06	3.301000000000000e+03
3.620000000000000e-06	3.400000000000000e+03
3.630000000000000e-06	3.586000000000000e+03
3.640000000000000e-06	3.688000000000000e+03
